Benchmark,Language,WasmFile,FileSizeKB,AvgExecTimeSec,MaxMemoryMB
batch_write,C,batch_write.wasm,227.14,0.1605,19.28
batch_write,Go,batch_write.wasm,551.43,0.1819,20.14
batch_write,Python,batch_write.wasm,24925.32,0.3865,68.73
batch_write,Rust,batch_write.wasm,1964.53,0.1603,19.55
rand_rw,C,rand_rw.wasm,144.55,0.0749,18.54
rand_rw,Go,rand_rw.wasm,391.33,0.0763,19.59
rand_rw,Python,rw.wasm,26328.38,0.324,87.12
rand_rw,Rust,rand_rw.wasm,2651.48,0.0902,19.95
writeflow,C,writeflow.wasm,285.85,0.0509,3.85
writeflow,Go,writeflow.wasm,728.84,0.0953,20.52
writeflow,Python,writeflow.wasm,26377.2,0.2501,80.64
writeflow,Rust,writeflow.wasm,3080.72,0.1443,21.66
std,C,std.wasm,140.98,0.0365,19.58
std,Go,std.wasm,560.15,0.0336,3.19
std,Python,std.wasm,24947.37,0.2829,75.05
std,Rust,std.wasm,2006.35,0.0516,19.66
floyd-warshall,C,floyd.wasm,144.09,0.3682,21.57
floyd-warshall,Go,floyd.wasm,618.88,6.1206,45.73
floyd-warshall,Python,floyd.wasm,26390.1,375.2032,169.23
floyd-warshall,Rust,floyd-warshall.wasm,2850.33,9.9187,40.92
quicksort,C,quicksort.wasm,143.85,0.1964,27.22
quicksort,Go,quicksort.wasm,615.23,0.1981,28.28
quicksort,Python,quicksort.wasm,26361.4,10.7483,93.34
quicksort,Rust,quicksort.wasm,2841.97,1.8424,27.64
fft,C,fft.wasm,180.53,0.1026,25.47
fft,Go,fft.wasm,618.88,0.3359,36.4
fft,Python,fft.wasm,26367.92,1.8477,75.2
fft,Rust,fft.wasm,2284.49,0.5235,26.02
nbody,C,nbody.wasm,147.04,0.4554,19.38
nbody,Go,nbody.wasm,616.96,0.426,20.37
nbody,Python,nbody.wasm,26397.49,98.8187,81.62
nbody,Rust,nbody.wasm,2823.03,0.9361,19.8
three-mm,C,3mm.wasm,146.47,3.3323,44.35
three-mm,Go,3mm.wasm,618.88,5.8797,45.34
three-mm,Python,3mm.wasm,26390.1,385.8997,169.2
three-mm,Rust,three-mm.wasm,3046.42,58.041,60.67
correlation,C,correlation.wasm,146.15,0.0379,3.19
correlation,Go,correlation.wasm,617.46,0.2694,24.86
correlation,Python,correlation.wasm,26400.08,33.3556,165.06
correlation,Rust,correlation.wasm,2888.26,4.9176,24.39
