benchmark,language,mode,exec_time_sec,peak_mem_kb,status
batch_write,Go,JIT,.135561746,17988,success
batch_write,Go,AOT,.098858055,16780,success
batch_write,Python,JIT,.308267688,87428,success
batch_write,Python,AOT,.260450964,87432,success
batch_write,Rust,JIT,.120980968,16948,success
batch_write,Rust,AOT,.113036388,16248,success
batch_write,C,JIT,.117868240,17320,success
batch_write,C,AOT,.118603649,16184,success
batch_write,Zig,JIT,.115266957,17192,success
batch_write,Zig,AOT,.121719180,15972,success
rand_rw,Go,JIT,.136483295,30204,success
rand_rw,Go,AOT,.109660265,16604,success
rand_rw,Python,JIT,.202690667,92200,success
rand_rw,Python,AOT,.223973639,92212,success
rand_rw,Rust,JIT,.069018340,17624,success
rand_rw,Rust,AOT,.133873499,16424,success
rand_rw,C,JIT,.137725925,17196,success
rand_rw,C,AOT,.033567448,16156,success
rand_rw,Zig,JIT,.182621300,17236,success
rand_rw,Zig,AOT,.033062983,16112,success
writeflow,Go,JIT,.760301450,47324,success
writeflow,Go,AOT,.115022293,17428,success
writeflow,Python,JIT,.189930398,92084,success
writeflow,Python,AOT,.170676054,92064,success
writeflow,Rust,JIT,.141483373,18880,success
writeflow,Rust,AOT,.126409680,16920,success
writeflow,C,JIT,.022288152,17544,success
writeflow,C,AOT,.019601163,16416,success
writeflow,Zig,JIT,0,0,fail
writeflow,Zig,AOT,.007837340,12712,success
std,Go,JIT,.304262877,42924,success
std,Go,AOT,.010124549,16604,success
std,Python,JIT,.190755031,87816,success
std,Python,AOT,.184187437,87832,success
std,Rust,JIT,.021104843,16976,success
std,Rust,AOT,.012234997,9980,success
std,C,JIT,.013966525,16976,success
std,C,AOT,.007987471,15896,success
std,Zig,JIT,0,0,fail
std,Zig,AOT,.012013993,12660,success
floyd-warshall,Go,JIT,.727821610,40840,success
floyd-warshall,Go,AOT,.503417476,18764,success
floyd-warshall,Python,JIT,37.088360568,91928,success
floyd-warshall,Python,AOT,37.528593649,91964,success
floyd-warshall,Rust,JIT,10.280778425,19248,success
floyd-warshall,Rust,AOT,9.849684349,18168,success
floyd-warshall,C,JIT,.350782868,18704,success
floyd-warshall,C,AOT,.347838163,17744,success
floyd-warshall,Zig,JIT,.374375989,18980,success
floyd-warshall,Zig,AOT,.357356066,18028,success
quicksort,Go,JIT,.398815678,47264,success
quicksort,Go,AOT,.166703495,24556,success
quicksort,Python,JIT,10.047198656,92028,success
quicksort,Python,AOT,9.919546812,91984,success
quicksort,Rust,JIT,3.638468288,25052,success
quicksort,Rust,AOT,3.572096765,25040,success
quicksort,C,JIT,.173788083,24560,success
quicksort,C,AOT,.166009032,23544,success
quicksort,Zig,JIT,.253070192,24932,success
quicksort,Zig,AOT,.248380195,23860,success
fft,Go,JIT,.563673409,50572,success
fft,Go,AOT,.322745859,32944,success
fft,Python,JIT,1.807406257,92008,success
fft,Python,AOT,1.840195014,92012,success
fft,Rust,JIT,.502452787,23252,success
fft,Rust,AOT,.503893928,22352,success
fft,C,JIT,.064512468,23192,success
fft,C,AOT,.060308262,22188,success
fft,Zig,JIT,.263818431,23292,success
fft,Zig,AOT,.256665554,22316,success
nbody,Go,JIT,.634633311,39120,success
nbody,Go,AOT,.408333165,16672,success
nbody,Python,JIT,98.845728405,92528,success
nbody,Python,AOT,100.237397083,92472,success
nbody,Rust,JIT,.951292598,18024,success
nbody,Rust,AOT,.938399120,16268,success
nbody,C,JIT,.434417221,17124,success
nbody,C,AOT,.442487397,16056,success
nbody,Zig,JIT,.447718740,17208,success
nbody,Zig,AOT,.420626542,16228,success
three-mm,Go,JIT,5.985377024,43488,success
three-mm,Go,AOT,5.847794772,42340,success
three-mm,Python,JIT,375.523699110,169768,success
three-mm,Python,AOT,396.229242991,169812,success
three-mm,Rust,JIT,68.880124368,42524,success
three-mm,Rust,AOT,62.404680868,41468,success
three-mm,C,JIT,3.431162260,41908,success
three-mm,C,AOT,3.629822396,40960,success
correlation,Go,JIT,.572636661,38856,success
correlation,Go,AOT,.277062621,21160,success
correlation,Python,JIT,34.239958090,164988,success
correlation,Python,AOT,34.271492077,164380,success
correlation,Rust,JIT,5.314332171,21552,success
correlation,Rust,AOT,5.432887680,20548,success
correlation,C,JIT,.232844868,20896,success
correlation,C,AOT,.212067137,20112,success
correlation,Zig,JIT,.246789542,21432,success
correlation,Zig,AOT,.246553809,20336,success
