benchmark,language,mode,exec_time_sec,peak_mem_kb,status,runtime
batch_write,Go,JIT,0.132994858,18012,success,wasmtime 
batch_write,Go,AOT,0.134910603,16784,success,wasmtime 
batch_write,Python,JIT,0.308659147,87468,success,wasmtime 
batch_write,Python,AOT,0.263008378,87440,success,wasmtime 
batch_write,Rust,JIT,0.124417997,17116,success,wasmtime 
batch_write,Rust,AOT,0.085319701,16252,success,wasmtime 
batch_write,C,JIT,0.1004817,17344,success,wasmtime 
batch_write,C,AOT,0.087959151,16272,success,wasmtime 
batch_write,Zig,JIT,0.099909737,17132,success,wasmtime 
batch_write,Zig,AOT,0.079982269,16024,success,wasmtime 
rand_rw,Go,JIT,0.070826251,17616,success,wasmtime 
rand_rw,Go,AOT,0.05503043,16568,success,wasmtime 
rand_rw,Python,JIT,0.23018559,92076,success,wasmtime 
rand_rw,Python,AOT,0.230006734,92180,success,wasmtime 
rand_rw,Rust,JIT,0.21143766,17572,fail,wasmtime 
rand_rw,Rust,AOT,0.067450609,16428,success,wasmtime 
rand_rw,C,JIT,0.080472558,17068,success,wasmtime 
rand_rw,C,AOT,0.028831553,16304,success,wasmtime 
rand_rw,Zig,JIT,0.082658221,17260,success,wasmtime 
rand_rw,Zig,AOT,0.029158137,16136,success,wasmtime 
writeflow,Go,JIT,0.118156795,18680,success,wasmtime 
writeflow,Go,AOT,0.159134477,17508,success,wasmtime 
writeflow,Python,JIT,0.264627275,92132,success,wasmtime 
writeflow,Python,AOT,0.178115931,92140,success,wasmtime 
writeflow,Rust,JIT,0.137833865,18904,success,wasmtime 
writeflow,Rust,AOT,0.135696557,16892,success,wasmtime 
writeflow,C,JIT,0.021677766,17496,success,wasmtime 
writeflow,C,AOT,0.03919115,16256,success,wasmtime 
writeflow,Zig,JIT,0,0,fail,wasmtime 
writeflow,Zig,AOT,0.01015234,12652,success,wasmtime 
std,Go,JIT,0.016566942,17916,success,wasmtime 
std,Go,AOT,0.013949808,16464,success,wasmtime 
std,Python,JIT,0.215043101,87816,success,wasmtime 
std,Python,AOT,0.19793451,87868,success,wasmtime 
std,Rust,JIT,0.035969799,17024,success,wasmtime 
std,Rust,AOT,0.009407466,10068,success,wasmtime 
std,C,JIT,0.011608332,17180,success,wasmtime 
std,C,AOT,0.01216614,16080,success,wasmtime 
std,Zig,JIT,0,0,fail,wasmtime 
std,Zig,AOT,0.013201112,12636,success,wasmtime 
floyd-warshall,Go,JIT,0.494823631,19992,success,wasmtime 
floyd-warshall,Go,AOT,0.496814853,18612,success,wasmtime 
floyd-warshall,Python,JIT,37.7731372,91924,success,wasmtime 
floyd-warshall,Python,AOT,37.572410981,91940,success,wasmtime 
floyd-warshall,Rust,JIT,9.93,19260,fail,wasmtime 
floyd-warshall,Rust,AOT,9.79,18316,success,wasmtime 
floyd-warshall,C,JIT,0.353912977,18668,success,wasmtime 
floyd-warshall,C,AOT,0.348630916,17836,success,wasmtime 
floyd-warshall,Zig,JIT,0.346506591,19104,success,wasmtime 
floyd-warshall,Zig,AOT,0.355318015,18124,success,wasmtime 
quicksort,Go,JIT,0.173512017,25876,success,wasmtime 
quicksort,Go,AOT,0.162948031,24592,success,wasmtime 
quicksort,Python,JIT,10.299766262,91968,success,wasmtime 
quicksort,Python,AOT,10.193028632,91920,success,wasmtime 
quicksort,Rust,JIT,3.563462378,25076,success,wasmtime 
quicksort,Rust,AOT,3.575087226,25152,success,wasmtime 
quicksort,C,JIT,0.173504038,24628,success,wasmtime 
quicksort,C,AOT,0.169019842,23736,success,wasmtime 
quicksort,Zig,JIT,0.266497042,24876,success,wasmtime 
quicksort,Zig,AOT,0.257780591,23868,success,wasmtime 
fft,Go,JIT,0.36553545,34100,success,wasmtime 
fft,Go,AOT,0.32542075,32952,success,wasmtime 
fft,Python,JIT,1.760342482,92032,success,wasmtime 
fft,Python,AOT,1.782205685,92060,success,wasmtime 
fft,Rust,JIT,0.551498165,23276,success,wasmtime 
fft,Rust,AOT,0.503749566,22264,success,wasmtime 
fft,C,JIT,0.087810928,22992,success,wasmtime 
fft,C,AOT,0.058917135,22184,success,wasmtime 
fft,Zig,JIT,0.263760251,23384,success,wasmtime 
fft,Zig,AOT,0.255228993,22264,success,wasmtime 
nbody,Go,JIT,0.413456927,18044,success,wasmtime 
nbody,Go,AOT,0.409633967,16840,success,wasmtime 
nbody,Python,JIT,99.08071958,92452,success,wasmtime 
nbody,Python,AOT,99.051287019,92452,success,wasmtime 
nbody,Rust,JIT,0.918108245,17924,success,wasmtime 
nbody,Rust,AOT,0.913821655,16316,success,wasmtime 
nbody,C,JIT,0.439254738,17084,success,wasmtime 
nbody,C,AOT,0.445554195,16092,success,wasmtime 
