Benchmark,Language,WasmFile,AvgCompileTimeSec,MaxMemoryMB,Import,Export
batch_write,C,batch_write.wasm,0.1140,88.36,10,2
batch_write,Go,batch_write.wasm,4.2283,241.13,11,11
batch_write,Python,batch_write.wasm,29.2270,762.25,42,1714
batch_write,Rust,batch_write.wasm,0.3913,148.33,8,3
rand_rw,C,rand_rw.wasm,0.1239,87.76,10,2
rand_rw,Go,rand_rw.wasm,2.3853,220.16,13,11
rand_rw,Python,rw.wasm,33.8022,895.38,42,1714
rand_rw,Rust,rand_rw.wasm,6.9491,402.65,11,3
writeflow,C,writeflow.wasm,0.1237,87.73,11,2
writeflow,Go,writeflow.wasm,5.9633,242.95,12,11
writeflow,Python,writeflow.wasm,35.1347,897.66,42,1714
writeflow,Rust,writeflow.wasm,0.0195,0.00,11,3
std,C,std.wasm,0.1179,92.73,6,2
std,Go,std.wasm,4.7279,236.54,6,11
std,Python,std.wasm,29.3831,763.46,42,1714
std,Rust,std.wasm,0.4384,152.34,5,3
floyd-warshall,C,floyd.wasm,0.1067,94.36,8,2
floyd-warshall,Go,floyd.wasm,4.9929,246.53,6,11
floyd-warshall,Python,floyd.wasm,33.9903,896.43,42,1714
floyd-warshall,Rust,floyd-warshall.wasm,6.7370,369.60,7,3
quicksort,C,quicksort.wasm,0.1194,101.16,8,2
quicksort,Go,quicksort.wasm,5.0298,240.27,6,11
quicksort,Python,quicksort.wasm,34.4129,895.52,42,1714
quicksort,Rust,quicksort.wasm,5.7029,400.79,7,3
fft,C,fft.wasm,0.1213,93.48,8,2
fft,Go,fft.wasm,4.9267,242.77,6,11
fft,Python,fft.wasm,35.5453,895.24,42,1714
fft,Rust,fft.wasm,8.4081,404.36,7,3
nbody,C,nbody.wasm,0.1122,95.50,8,2
nbody,Go,nbody.wasm,5.2030,240.38,6,11
nbody,Python,nbody.wasm,34.4075,895.48,42,1714
nbody,Rust,nbody.wasm,6.1629,406.12,7,3
three-mm,C,3mm.wasm,0.1704,118.96,8,2
three-mm,Go,3mm.wasm,4.9282,243.06,6,11
three-mm,Python,3mm.wasm,34.6326,896.30,42,1714
three-mm,Rust,three-mm.wasm,6.0021,388.62,7,3
correlation,C,correlation.wasm,0.1323,98.62,8,2
correlation,Go,correlation.wasm,5.2043,241.27,6,11
correlation,Python,correlation.wasm,37.3720,902.43,42,1714
correlation,Rust,correlation.wasm,5.4062,393.05,7,3
